"John Tyler Community College","2020 Fall","Chester Campus","Accounting","Regular Academic Session","ACC"," 211","Principles of Accounting I","16803",N01A,3,"VIRT",,,,"VIRTUAL","Virtual","Mariah Dar",A, ," ","  NOTE: This is an online course using Canvas  and it will be made available the first day of the class session. Students should have access to a computer and know how to use the Internet and e-mail. For information on how to access Canvas  go to www.jtcc.edu/myTyler. This course is part of the Follett ACCESS (formerly called IncludED) program. You will be automatically billed for these course materials upon registration. You will receive information via your school email on how you can opt out of this program. If you have questions about this program  visit the bookstore on either campus or email 1399mgr@follett.com.",A,O,,,2020-08-24,2020-12-12,"Principles of Accounting I",2020-08-28,2204,2020-09-08,2020-10-23
"John Tyler Community College","2020 Fall","Chester Campus","Accounting","Regular Academic Session","ACC"," 211","Principles of Accounting I","16798",02A,3,"TR",TuTh,09:30 AM,10:50 AM,"CHESTER","Moyar M130","Mariah Dar",A, ," ","  This course is part of the Follett ACCESS (formerly called IncludED) program. You will be automatically billed for these course materials upon registration. You will receive information via your school email on how you can opt out of this program. If you have questions about this program  visit the bookstore on either campus or email 1399mgr@follett.com. This course will be in-person on the day(s) and at the times listed. A limited number of students are allowed to enroll in the in-person class  as the college will follow all CDC  federal  state  and college requirements at the time the class begins through the end of the course. By registering for the in-person class  students will be required to follow all established guidelines and policies for this course. Any students not willing to follow the guidelines and policies should register for courses taught fully online or remotely via Zoom instead.",A,O,,,2020-08-24,2020-12-12,"Principles of Accounting I",2020-08-28,2204,2020-09-08,2020-10-23
"John Tyler Community College","2020 Fall","Chester Campus","Accounting","Regular Academic Session","ACC"," 211","Principles of Accounting I","16799",Z71S,3,"T",Tu,06:30 PM,09:20 PM,"VIRTUAL-RT","Online Scheduled Time","Sheronda Bynum",A, ," ","  This course is part of the Follett ACCESS (formerly called IncludED) program. You will be automatically billed for these course materials upon registration. You will receive information via your school email on how you can opt out of this program. If you have questions about this program  visit the bookstore on either campus or email 1399mgr@follett.com. This course will be conducted remotely via Zoom on the day(s) and at the times listed. Students must have access to a computer and webcam and know how to use the Internet and e-mail. Class session links for Zoom and course materials will be posted on Canvas. For information on how to access Canvas  go to www.jtcc.edu/mytyler.",A,O,,,2020-08-24,2020-12-12,"Principles of Accounting I",2020-08-28,2204,2020-09-08,2020-10-23
"John Tyler Community College","2020 Fall","Chester Campus","Accounting","Regular Academic Session","ACC"," 211","Principles of Accounting I","16797",Z01S,3,"MW",MW,08:00 AM,09:20 AM,"VIRTUAL-RT","Online Scheduled Time","Mariah Dar",A, ," ","  This course is part of the Follett ACCESS (formerly called IncludED) program. You will be automatically billed for these course materials upon registration. You will receive information via your school email on how you can opt out of this program. If you have questions about this program  visit the bookstore on either campus or email 1399mgr@follett.com. This course will be conducted remotely via Zoom on the day(s) and at the times listed. Students must have access to a computer and webcam and know how to use the Internet and e-mail. Class session links for Zoom and course materials will be posted on Canvas. For information on how to access Canvas  go to www.jtcc.edu/mytyler.",A,O,,,2020-08-24,2020-12-12,"Principles of Accounting I",2020-08-28,2204,2020-09-08,2020-10-23
"John Tyler Community College","2020 Fall","Chester Campus","Accounting","Regular Academic Session","ACC"," 211","Principles of Accounting I","46720",Z03A,3,"TR",TuTh,09:30 AM,10:50 AM,"VIRTUAL-RT","Online Scheduled Time","Mariah Dar",A, ," ","  This course will be conducted remotely via Zoom on the day(s) and at the times listed. Students must have access to a computer and webcam and know how to use the Internet and e-mail. Class session links for Zoom and course materials will be posted on Canvas. For information on how to access Canvas  go to www.jtcc.edu/mytyler. This course is part of the Follett ACCESS program (formerly "IncludED").  You will be automatically billed for these course materials upon registration.  You will receive information via your school email on how you can opt out of this program.  If you have questions about this program  visit the bookstore on either campus or email 1399mgr@follett.com.",A,O,,,2020-08-24,2020-12-12,"Principles of Accounting I",2020-08-28,2204,2020-09-08,2020-10-23
"John Tyler Community College","2020 Fall","Chester Campus","Accounting","Regular Academic Session","ACC"," 212","Principles of Accounting II","16805",Z01S,3,"MW",MW,09:30 AM,10:50 AM,"VIRTUAL-RT","Online Scheduled Time","Mariah Dar",A, ,"  PREREQUISITE: ACC 211 or equivalent.","  This course will be conducted remotely via Zoom on the day(s) and at the times listed. Students must have access to a computer and webcam and know how to use the Internet and e-mail. Class session links for Zoom and course materials will be posted on Canvas. For information on how to access Canvas  go to www.jtcc.edu/mytyler. This course is part of the Follett ACCESS program (formerly "IncludED").  You will be automatically billed for these course materials upon registration.  You will receive information via your school email on how you can opt out of this program.  If you have questions about this program  visit the bookstore on either campus or email 1399mgr@follett.com.",A,O,,,2020-08-24,2020-12-12,"Principles of Accounting II",2020-08-28,2204,2020-09-08,2020-10-23
"John Tyler Community College","2020 Fall","Chester Campus","Accounting","Regular Academic Session","ACC"," 215","Computerized Accounting","17450",N01A,3,"VIRT",,,,"VIRTUAL","Virtual","Glenn Varholick",A, ,"  PREREQUISITE: ACC 212 or equivalent.","  This is an online course using Canvas  and it will be made available on or before the first day of the class session. Students must have access to a computer with webcam and know how to use the Internet and e-mail. For information on how to access Canvas go to www.jtcc.edu/mytyler.",A,O,,,2020-08-24,2020-12-12,"Computerized Accounting",2020-08-28,2204,2020-09-08,2020-10-23
"John Tyler Community College","2020 Fall","Chester Campus","Administration of Justice","Regular Academic Session","ADJ"," 100","Survey of Criminal Justice","46748",N02A,3,"VIRT",,,,"VIRTUAL","Virtual","Michael Sorensen",A, ," ","  NOTE: This is an online course using Canvas  and it will be made available the first day of the class session. Students must have access to a computer  webcam  and know how to use the Internet and e-mail. For information on how to access Canvas  go to www.jtcc.edu/myTyler.",A,O,,,2020-08-24,2020-12-12,"Survey of Criminal Justice",2020-08-28,2204,2020-09-08,2020-10-23
"John Tyler Community College","2020 Fall","Chester Campus","Administration of Justice","Regular Academic Session","ADJ"," 100","Survey of Criminal Justice","17081",N01A,3,"VIRT",,,,"VIRTUAL","Virtual","Michael Sorensen",A, ," ","  This is an online course using Canvas  and it will be made available on or before the first day of the class session. Students must have access to a computer with webcam and know how to use the Internet and e-mail. For information on how to access Canvas go to www.jtcc.edu/mytyler.",A,O,,,2020-08-24,2020-12-12,"Survey of Criminal Justice",2020-08-28,2204,2020-09-08,2020-10-23
"John Tyler Community College","2020 Fall","Chester Campus","Administration of Justice","Regular Academic Session","ADJ"," 105","The Juvenile Justice System","17298",N01A,3,"VIRT",,,,"VIRTUAL","Virtual","Michael Sorensen",A, ," ","  This is an online course using Canvas  and it will be made available on or before the first day of the class session. Students must have access to a computer with webcam and know how to use the Internet and e-mail. For information on how to access Canvas go to www.jtcc.edu/mytyler.",A,O,,,2020-08-24,2020-12-12,"The Juvenile Justice System",2020-08-28,2204,2020-09-08,2020-10-23
